filename,result,frame,conf
crop_0267_f00294_c0.45_55-56min.jpg,,00294,0.45
crop_0268_f00295_c0.52_55-56min.jpg,,00295,0.52
crop_0269_f00295_c0.39_55-56min.jpg,,00295,0.39
crop_0270_f00297_c0.60_55-56min.jpg,,00297,0.60
crop_0271_f00297_c0.36_55-56min.jpg,,00297,0.36
crop_0272_f00298_c0.60_55-56min.jpg,,00298,0.60
crop_0273_f00298_c0.46_55-56min.jpg,,00298,0.46
crop_0274_f00298_c0.42_55-56min.jpg,,00298,0.42
crop_0275_f00299_c0.58_55-56min.jpg,,00299,0.58
crop_0276_f00299_c0.40_55-56min.jpg,,00299,0.40
crop_0277_f00300_c0.43_55-56min.jpg,,00300,0.43
crop_0278_f00301_c0.48_55-56min.jpg,,00301,0.48
crop_0279_f00302_c0.64_55-56min.jpg,,00302,0.64
crop_0280_f00303_c0.54_55-56min.jpg,,00303,0.54
crop_0281_f00303_c0.44_55-56min.jpg,,00303,0.44
crop_0282_f00304_c0.41_55-56min.jpg,,00304,0.41
crop_0283_f00304_c0.41_55-56min.jpg,,00304,0.41
crop_0284_f00304_c0.36_55-56min.jpg,,00304,0.36
crop_0285_f00305_c0.45_55-56min.jpg,,00305,0.45
crop_0286_f00305_c0.42_55-56min.jpg,,00305,0.42
crop_0287_f00305_c0.38_55-56min.jpg,,00305,0.38
crop_0288_f00305_c0.38_55-56min.jpg,,00305,0.38
crop_0289_f00306_c0.41_55-56min.jpg,,00306,0.41
crop_0290_f00308_c0.47_55-56min.jpg,,00308,0.47
crop_0291_f00309_c0.53_55-56min.jpg,,00309,0.53
crop_0292_f00310_c0.58_55-56min.jpg,,00310,0.58
crop_0293_f00311_c0.71_55-56min.jpg,,00311,0.71
crop_0294_f00312_c0.64_55-56min.jpg,,00312,0.64
crop_0295_f00313_c0.67_55-56min.jpg,,00313,0.67
crop_0296_f00314_c0.63_55-56min.jpg,,00314,0.63
crop_0297_f00314_c0.53_55-56min.jpg,,00314,0.53
crop_0298_f00315_c0.49_55-56min.jpg,,00315,0.49
crop_0299_f00316_c0.44_55-56min.jpg,,00316,0.44
crop_0300_f00317_c0.51_55-56min.jpg,,00317,0.51
crop_0301_f00318_c0.40_55-56min.jpg,,00318,0.40
crop_0302_f00321_c0.35_55-56min.jpg,,00321,0.35
crop_0303_f00322_c0.49_55-56min.jpg,,00322,0.49
crop_0304_f00322_c0.44_55-56min.jpg,,00322,0.44
crop_0305_f00323_c0.49_55-56min.jpg,,00323,0.49
crop_0306_f00324_c0.41_55-56min.jpg,,00324,0.41
crop_0307_f00330_c0.37_55-56min.jpg,,00330,0.37
crop_0308_f00333_c0.39_55-56min.jpg,,00333,0.39
crop_0309_f00335_c0.46_55-56min.jpg,,00335,0.46
crop_0310_f00336_c0.66_55-56min.jpg,,00336,0.66
crop_0311_f00337_c0.71_55-56min.jpg,,00337,0.71
crop_0312_f00337_c0.54_55-56min.jpg,,00337,0.54
crop_0313_f00337_c0.48_55-56min.jpg,,00337,0.48
crop_0314_f00338_c0.68_55-56min.jpg,,00338,0.68
crop_0315_f00338_c0.48_55-56min.jpg,,00338,0.48
crop_0316_f00339_c0.63_55-56min.jpg,,00339,0.63
crop_0317_f00339_c0.38_55-56min.jpg,,00339,0.38
crop_0318_f00340_c0.61_55-56min.jpg,,00340,0.61
crop_0319_f00341_c0.59_55-56min.jpg,,00341,0.59
crop_0320_f00342_c0.60_55-56min.jpg,,00342,0.60
crop_0321_f00342_c0.50_55-56min.jpg,,00342,0.50
crop_0322_f00343_c0.46_55-56min.jpg,,00343,0.46
crop_0323_f00343_c0.41_55-56min.jpg,,00343,0.41
crop_0324_f00344_c0.46_55-56min.jpg,,00344,0.46
crop_0325_f00344_c0.41_55-56min.jpg,,00344,0.41
crop_0326_f00344_c0.36_55-56min.jpg,,00344,0.36
crop_0327_f00345_c0.38_55-56min.jpg,,00345,0.38
crop_0328_f00349_c0.49_55-56min.jpg,,00349,0.49
crop_0329_f00350_c0.46_55-56min.jpg,,00350,0.46
crop_0330_f00351_c0.57_55-56min.jpg,,00351,0.57
crop_0331_f00352_c0.60_55-56min.jpg,,00352,0.60
crop_0332_f00353_c0.60_55-56min.jpg,,00353,0.60
crop_0333_f00353_c0.44_55-56min.jpg,,00353,0.44
crop_0334_f00354_c0.57_55-56min.jpg,,00354,0.57
crop_0335_f00354_c0.42_55-56min.jpg,,00354,0.42
crop_0336_f00355_c0.44_55-56min.jpg,,00355,0.44
crop_0337_f00356_c0.58_55-56min.jpg,,00356,0.58
crop_0338_f00357_c0.46_55-56min.jpg,,00357,0.46
crop_0339_f00358_c0.38_55-56min.jpg,,00358,0.38
crop_0340_f00359_c0.36_55-56min.jpg,,00359,0.36
crop_0341_f00361_c0.46_55-56min.jpg,,00361,0.46
crop_0342_f00362_c0.59_55-56min.jpg,,00362,0.59
crop_0343_f00363_c0.48_55-56min.jpg,,00363,0.48
crop_0344_f00363_c0.35_55-56min.jpg,,00363,0.35
crop_0345_f00366_c0.40_55-56min.jpg,,00366,0.40
crop_0346_f00370_c0.48_55-56min.jpg,,00370,0.48
crop_0347_f00370_c0.44_55-56min.jpg,,00370,0.44
crop_0348_f00371_c0.47_55-56min.jpg,,00371,0.47
crop_0349_f00373_c0.52_55-56min.jpg,,00373,0.52
crop_0350_f00381_c0.49_55-56min.jpg,,00381,0.49
crop_0351_f00382_c0.52_55-56min.jpg,,00382,0.52
crop_0352_f00383_c0.54_55-56min.jpg,,00383,0.54
crop_0353_f00383_c0.41_55-56min.jpg,,00383,0.41
crop_0354_f00384_c0.62_55-56min.jpg,,00384,0.62
crop_0355_f00384_c0.35_55-56min.jpg,,00384,0.35
crop_0356_f00385_c0.59_55-56min.jpg,,00385,0.59
crop_0357_f00385_c0.54_55-56min.jpg,,00385,0.54
crop_0358_f00386_c0.48_55-56min.jpg,,00386,0.48
crop_0359_f00386_c0.37_55-56min.jpg,,00386,0.37
crop_0360_f00387_c0.40_55-56min.jpg,,00387,0.40
crop_0361_f00388_c0.50_55-56min.jpg,,00388,0.50
crop_0362_f00389_c0.46_55-56min.jpg,,00389,0.46
crop_0363_f00390_c0.56_55-56min.jpg,,00390,0.56
crop_0364_f00391_c0.60_55-56min.jpg,,00391,0.60
crop_0365_f00392_c0.40_55-56min.jpg,,00392,0.40
crop_0366_f00393_c0.61_55-56min.jpg,,00393,0.61
crop_0367_f00394_c0.62_55-56min.jpg,,00394,0.62
crop_0368_f00394_c0.36_55-56min.jpg,,00394,0.36
crop_0369_f00395_c0.47_55-56min.jpg,,00395,0.47
crop_0370_f00396_c0.58_55-56min.jpg,,00396,0.58
crop_0371_f00397_c0.59_55-56min.jpg,,00397,0.59
crop_0372_f00398_c0.51_55-56min.jpg,,00398,0.51
crop_0373_f00399_c0.43_55-56min.jpg,,00399,0.43
crop_0374_f00399_c0.37_55-56min.jpg,,00399,0.37
crop_0375_f00400_c0.52_55-56min.jpg,,00400,0.52
crop_0376_f00401_c0.46_55-56min.jpg,,00401,0.46
crop_0377_f00402_c0.58_55-56min.jpg,,00402,0.58
crop_0378_f00403_c0.50_55-56min.jpg,,00403,0.50
crop_0379_f00404_c0.46_55-56min.jpg,,00404,0.46
